mode,theoretical_rtp,empirical_rtp,rtp_delta,empirical_std,std_ok,rtp_ok,max_payout,num_outcomes,pass
100balls_Low_8,0.96,0.959275,0.000725,0.8023,True,True,2.41,9,True
normal_Medium_8,0.961111,0.962555,0.001443,1.1576,True,True,3.09,9,True
100balls_High_8,0.962222,0.965337,0.003115,1.4172,True,True,3.59,9,True
normal_Expert_8,0.965556,0.967444,0.001888,1.5642,True,True,3.88,9,True
100balls_Low_9,0.96,0.958212,0.001788,0.7796,True,True,2.47,10,True
normal_Medium_9,0.962,0.961013,0.000987,1.2596,True,True,3.44,10,True
100balls_High_9,0.96,0.959836,0.000164,1.4917,True,True,3.91,10,True
normal_Expert_9,0.964,0.964642,0.000642,1.7179,True,True,4.39,10,True
100balls_Low_10,0.959091,0.956908,0.002183,0.9939,True,True,3.0,11,True
normal_Medium_10,0.962727,0.961433,0.001295,1.3284,True,True,3.73,11,True
100balls_High_10,0.962727,0.964926,0.002198,1.6579,True,True,4.45,11,True
normal_Expert_10,0.964545,0.964556,1.1e-05,1.8858,True,True,4.96,11,True
100balls_Low_11,0.96,0.96077,0.00077,0.937,True,True,2.97,12,True
normal_Medium_11,0.96,0.959346,0.000654,1.3213,True,True,3.84,12,True
100balls_High_11,0.961667,0.960618,0.001049,1.7707,True,True,4.9,12,True
normal_Expert_11,0.965,0.96116,0.00384,1.991,True,True,5.42,12,True
100balls_Low_12,0.959231,0.960568,0.001337,1.0694,True,True,3.4,13,True
normal_Medium_12,0.958462,0.95749,0.000971,1.3484,True,True,3.97,13,True
100balls_High_12,0.960769,0.958213,0.002557,1.8087,True,True,5.17,13,True
normal_Expert_12,0.953077,0.951167,0.00191,2.0714,True,True,5.81,13,True
100balls_Low_13,0.962857,0.962084,0.000773,0.8191,True,True,2.75,14,True
normal_Medium_13,0.961429,0.962318,0.000889,1.4198,True,True,4.29,14,True
100balls_High_13,0.952857,0.951379,0.001479,1.8802,True,True,5.52,14,True
normal_Expert_13,0.965714,0.96929,0.003576,2.1964,True,True,6.33,14,True
100balls_Low_14,0.961333,0.96149,0.000157,0.8307,True,True,2.83,15,True
normal_Medium_14,0.961333,0.957799,0.003534,1.5418,True,True,4.78,15,True
100balls_High_14,0.962,0.963326,0.001326,2.0055,True,True,6.03,15,True
normal_Expert_14,0.964667,0.968163,0.003496,2.3329,True,True,6.9,15,True
100balls_Low_15,0.96125,0.960241,0.001009,1.1159,True,True,3.57,16,True
normal_Medium_15,0.96125,0.962171,0.000921,1.6849,True,True,5.32,16,True
100balls_High_15,0.9625,0.962083,0.000417,2.0792,True,True,6.42,16,True
normal_Expert_15,0.965,0.965785,0.000785,2.4526,True,True,7.45,16,True
100balls_Low_16,0.958824,0.953376,0.005448,1.2361,True,True,3.92,17,True
normal_Medium_16,0.966471,0.963296,0.003175,1.6714,True,True,5.26,17,True
100balls_High_16,0.962941,0.961891,0.00105,2.2098,True,True,6.97,17,True
normal_Expert_16,0.953529,0.952645,0.000884,2.5214,True,True,7.86,17,True
