mode,mode_type,difficulty,rows,entries,valid_multiplier_count,valid_probability_count,probability_sum,status
normal_low_8,normal,Low,8,9,9,9,1.0,complete
buy100_low_8,100balls,Low,8,9,9,9,1.0,complete
normal_low_9,normal,Low,9,10,10,10,1.0,complete
buy100_low_9,100balls,Low,9,10,10,10,1.0,complete
normal_low_10,normal,Low,10,11,11,11,1.0,complete
buy100_low_10,100balls,Low,10,11,11,11,1.0,complete
normal_low_11,normal,Low,11,12,12,12,1.0,complete
buy100_low_11,100balls,Low,11,12,12,12,1.0,complete
normal_low_12,normal,Low,12,13,13,13,1.0,complete
buy100_low_12,100balls,Low,12,13,13,13,1.0,complete
normal_low_13,normal,Low,13,14,14,14,1.0,complete
buy100_low_13,100balls,Low,13,14,14,14,1.0,complete
normal_low_14,normal,Low,14,15,15,15,1.0,complete
buy100_low_14,100balls,Low,14,15,15,15,1.0,complete
normal_low_15,normal,Low,15,16,16,16,1.0,complete
buy100_low_15,100balls,Low,15,16,16,16,1.0,complete
normal_low_16,normal,Low,16,17,17,17,1.0,complete
buy100_low_16,100balls,Low,16,17,17,17,1.0,complete
normal_medium_8,normal,Medium,8,9,9,9,1.0,complete
buy100_medium_8,100balls,Medium,8,9,9,9,1.0,complete
normal_medium_9,normal,Medium,9,10,10,10,1.0,complete
buy100_medium_9,100balls,Medium,9,10,10,10,1.0,complete
normal_medium_10,normal,Medium,10,11,11,11,1.0,complete
buy100_medium_10,100balls,Medium,10,11,11,11,1.0,complete
normal_medium_11,normal,Medium,11,12,12,12,1.0,complete
buy100_medium_11,100balls,Medium,11,12,12,12,1.0,complete
normal_medium_12,normal,Medium,12,13,13,13,1.0,complete
buy100_medium_12,100balls,Medium,12,13,13,13,1.0,complete
normal_medium_13,normal,Medium,13,14,14,14,1.0,complete
buy100_medium_13,100balls,Medium,13,14,14,14,1.0,complete
normal_medium_14,normal,Medium,14,15,15,15,1.0,complete
buy100_medium_14,100balls,Medium,14,15,15,15,1.0,complete
normal_medium_15,normal,Medium,15,16,16,16,1.0,complete
buy100_medium_15,100balls,Medium,15,16,16,16,1.0,complete
normal_medium_16,normal,Medium,16,17,17,17,1.0,complete
buy100_medium_16,100balls,Medium,16,17,17,17,1.0,complete
normal_high_8,normal,High,8,9,9,9,1.0,complete
buy100_high_8,100balls,High,8,9,9,9,1.0,complete
normal_high_9,normal,High,9,10,10,10,1.0,complete
buy100_high_9,100balls,High,9,10,10,10,1.0,complete
normal_high_10,normal,High,10,11,11,11,1.0,complete
buy100_high_10,100balls,High,10,11,11,11,1.0,complete
normal_high_11,normal,High,11,12,12,12,1.0,complete
buy100_high_11,100balls,High,11,12,12,12,1.0,complete
normal_high_12,normal,High,12,13,13,13,1.0,complete
buy100_high_12,100balls,High,12,13,13,13,1.0,complete
normal_high_13,normal,High,13,14,14,14,1.0,complete
buy100_high_13,100balls,High,13,14,14,14,1.0,complete
normal_high_14,normal,High,14,15,15,15,1.0,complete
buy100_high_14,100balls,High,14,15,15,15,1.0,complete
normal_high_15,normal,High,15,16,16,16,1.0,complete
buy100_high_15,100balls,High,15,16,16,16,1.0,complete
normal_high_16,normal,High,16,17,17,17,1.0,complete
buy100_high_16,100balls,High,16,17,17,17,1.0,complete
normal_expert_8,normal,Expert,8,9,9,9,1.0,complete
buy100_expert_8,100balls,Expert,8,9,9,9,1.0,complete
normal_expert_9,normal,Expert,9,10,10,10,1.0,complete
buy100_expert_9,100balls,Expert,9,10,10,10,1.0,complete
normal_expert_10,normal,Expert,10,11,11,11,1.0,complete
buy100_expert_10,100balls,Expert,10,11,11,11,1.0,complete
normal_expert_11,normal,Expert,11,12,12,12,1.0,complete
buy100_expert_11,100balls,Expert,11,12,12,12,1.0,complete
normal_expert_12,normal,Expert,12,13,13,13,1.0,complete
buy100_expert_12,100balls,Expert,12,13,13,13,1.0,complete
normal_expert_13,normal,Expert,13,14,14,14,1.0,complete
buy100_expert_13,100balls,Expert,13,14,14,14,1.0,complete
normal_expert_14,normal,Expert,14,15,15,14,1.0,complete
buy100_expert_14,100balls,Expert,14,15,15,15,1.0,complete
normal_expert_15,normal,Expert,15,16,16,15,1.0,complete
buy100_expert_15,100balls,Expert,15,16,16,16,1.0,complete
normal_expert_16,normal,Expert,16,17,17,16,1.0,complete
buy100_expert_16,100balls,Expert,16,17,17,17,1.0,complete
