mode,cost,weight_sum,mean_payout,normalized_rtp,std_payout,normalized_std,min_multiplier,max_multiplier,in_range_0_6_to_50
normal_low_8,1.0,1000000,0.9605006,0.9605006,0.61000349,0.61000349,0.5,5.6,True
buy100_low_8,99.0,1000000,95.0895594,0.9605006,60.39034548,0.61000349,49.5,554.4,True
normal_low_9,1.0,1000000,0.9605006,0.9605006,0.610005,0.610005,0.7,5.6,True
buy100_low_9,99.0,1000000,95.0895594,0.9605006,60.39049479,0.610005,69.3,554.4,True
normal_low_10,1.0,1000000,0.9604947,0.9604947,0.60996772,0.60996772,0.5,8.9,True
buy100_low_10,99.0,1000000,95.0889753,0.9604947,60.38680443,0.60996772,49.5,881.1,True
normal_low_11,1.0,1000000,0.9604977,0.9604977,0.60998787,0.60998787,0.7,8.4,True
buy100_low_11,99.0,1000000,95.0892723,0.9604977,60.38879887,0.60998787,69.3,831.6,True
normal_low_12,1.0,1000000,0.9605,0.9605,0.61000381,0.61000381,0.5,10.0,True
buy100_low_12,99.0,1000000,95.0895,0.9605,60.39037733,0.61000381,49.5,990.0,True
normal_low_13,1.0,1000000,0.9605052,0.9605052,0.61003377,0.61003377,0.7,8.1,True
buy100_low_13,99.0,1000000,95.0900148,0.9605052,60.39334325,0.61003377,69.3,801.9,True
normal_low_14,1.0,1000000,0.9605026,0.9605026,0.61000952,0.61000952,0.5,7.1,True
buy100_low_14,99.0,1000000,95.0897574,0.9605026,60.39094255,0.61000952,49.5,702.9,True
normal_low_15,1.0,1000000,0.9604924,0.9604924,0.60991953,0.60991953,0.7,15.0,True
buy100_low_15,99.0,1000000,95.0887476,0.9604924,60.38203318,0.60991953,69.3,1485.0,True
normal_low_16,1.0,1000000,0.9604968,0.9604968,0.60994901,0.60994901,0.5,16.0,True
buy100_low_16,99.0,1000000,95.0891832,0.9604968,60.38495218,0.60994901,49.5,1584.0,True
normal_medium_8,1.0,1000000,0.960497,0.960497,0.68033691,0.68033691,0.4,13.0,True
buy100_medium_8,99.0,1000000,95.089203,0.960497,67.35335423,0.68033691,39.6,1287.0,True
normal_medium_9,1.0,1000000,0.9605108,0.9605108,0.69698316,0.69698316,0.5,18.0,True
buy100_medium_9,99.0,1000000,95.0905692,0.9605108,69.00133268,0.69698316,49.5,1782.0,True
normal_medium_10,1.0,1000000,0.9605028,0.9605028,0.71162151,0.71162151,0.4,22.0,True
buy100_medium_10,99.0,1000000,95.0897772,0.9605028,70.45052933,0.71162151,39.6,2178.0,True
normal_medium_11,1.0,1000000,0.9605002,0.9605002,0.7970252,0.7970252,0.5,24.0,True
buy100_medium_11,99.0,1000000,95.0895198,0.9605002,78.90549457,0.7970252,49.5,2376.0,True
normal_medium_12,1.0,1000000,0.9604936,0.9604936,0.78695661,0.78695661,0.3,33.0,True
buy100_medium_12,99.0,1000000,95.0888664,0.9604936,77.90870429,0.78695661,29.7,3267.0,True
normal_medium_13,1.0,1000000,0.9604953,0.9604953,0.90562084,0.90562084,0.4,43.0,True
buy100_medium_13,99.0,1000000,95.0890347,0.9604953,89.65646331,0.90562084,39.6,4257.0,True
normal_medium_14,1.0,1000000,0.9604912,0.9604912,0.98115065,0.98115065,0.2,58.0,True
buy100_medium_14,99.0,1000000,95.0886288,0.9604912,97.13391418,0.98115065,19.8,5742.0,True
normal_medium_15,1.0,1000000,0.9604892,0.9604892,1.11325269,1.11325269,0.3,88.0,True
buy100_medium_15,99.0,1000000,95.0884308,0.9604892,110.21201653,1.11325269,29.7,8712.0,True
normal_medium_16,1.0,1000000,0.9605047,0.9605047,0.85408994,0.85408994,0.3,110.0,True
buy100_medium_16,99.0,1000000,95.0899653,0.9605047,84.55490439,0.85408994,29.7,10890.0,True
normal_high_8,1.0,1000000,0.9605044,0.9605044,1.1422868,1.1422868,0.2,29.0,True
buy100_high_8,99.0,1000000,95.0899356,0.9605044,113.08639338,1.1422868,19.8,2871.0,True
normal_high_9,1.0,1000000,0.9604938,0.9604938,1.33970541,1.33970541,0.2,43.0,True
buy100_high_9,99.0,1000000,95.0888862,0.9604938,132.63083539,1.33970541,19.8,4257.0,True
normal_high_10,1.0,1000000,0.9604942,0.9604942,1.36840983,1.36840983,0.2,76.0,True
buy100_high_10,99.0,1000000,95.0889258,0.9604942,135.47257277,1.36840983,19.8,7524.0,True
normal_high_11,1.0,1000000,0.9604974,0.9604974,1.52185662,1.52185662,0.2,120.0,True
buy100_high_11,99.0,1000000,95.0892426,0.9604974,150.66380579,1.52185662,19.8,11880.0,True
normal_high_12,1.0,1000000,0.960497,0.960497,1.55157374,1.55157374,0.2,170.0,True
buy100_high_12,99.0,1000000,95.089203,0.960497,153.60580033,1.55157374,19.8,16830.0,True
normal_high_13,1.0,1000000,0.960477,0.960477,1.69617833,1.69617833,0.2,260.0,True
buy100_high_13,99.0,1000000,95.087223,0.960477,167.92165482,1.69617833,19.8,25740.0,True
normal_high_14,1.0,1000000,0.9604918,0.9604918,1.62257619,1.62257619,0.2,420.0,True
buy100_high_14,99.0,1000000,95.0886882,0.9604918,160.63504311,1.62257619,19.8,41580.0,True
normal_high_15,1.0,1000000,0.9605068,0.9605068,1.83602586,1.83602586,0.2,620.0,True
buy100_high_15,99.0,1000000,95.0901732,0.9605068,181.76655983,1.83602586,19.8,61380.0,True
normal_high_16,1.0,1000000,0.9605282,0.9605282,1.86393541,1.86393541,0.2,1000.0,True
buy100_high_16,99.0,1000000,95.0922918,0.9605282,184.52960571,1.86393541,19.8,99000.0,True
normal_expert_8,1.0,1000000,0.9605139,0.9605139,3.00896285,3.00896285,0.1,500.0,True
buy100_expert_8,99.0,1000000,95.0908761,0.9605139,297.88732224,3.00896285,9.9,49500.0,True
normal_expert_9,1.0,1000000,0.9605224,0.9605224,3.52151385,3.52151385,0.1,1000.0,True
buy100_expert_9,99.0,1000000,95.0917176,0.9605224,348.62987092,3.52151385,9.9,99000.0,True
normal_expert_10,1.0,1000000,0.9604598,0.9604598,4.09045988,4.09045988,0.1,2000.0,True
buy100_expert_10,99.0,1000000,95.0854807,0.9604594,367.39755695,3.71108643,9.9,100000.0,True
normal_expert_11,1.0,1000000,0.9603916,0.9603916,5.49721944,5.49721944,0.1,3200.0,True
buy100_expert_11,99.0,1000000,95.0793526,0.9603975,454.62151497,4.59213651,9.9,100000.0,True
normal_expert_12,1.0,1000000,0.9604633,0.9604633,7.86224393,7.86224393,0.1,6200.0,True
buy100_expert_12,99.0,1000000,95.085451,0.9604591,492.06941144,4.9703981,9.9,100000.0,True
normal_expert_13,1.0,1000000,0.9604454,0.9604454,10.4549829,10.4549829,0.1,10000.0,True
buy100_expert_13,99.0,1000000,95.1017266,0.9606235,330.28594457,3.33622166,9.9,100000.0,True
normal_expert_14,1.0,1000000,0.9605233,0.9605233,23.0344565,23.0344565,0.1,23000.0,True
buy100_expert_14,99.0,1000000,95.089114,0.9604961,203.0195047,2.05070207,9.9,100000.0,True
normal_expert_15,1.0,20200002,0.96045622,0.96045622,49.77807224,49.77807224,0.1,50000.0,True
buy100_expert_15,99.0,1000000,95.0890645,0.9604956,195.705667,1.97682492,9.9,100000.0,True
normal_expert_16,1.0,50000000,0.95972344,0.95972344,49.01418207,49.01418207,0.1,100000.0,True
buy100_expert_16,99.0,1000000,95.0898367,0.9605034,186.62838152,1.88513517,9.9,100000.0,True
