difficulty,rows,bucket_index,multiplier,payout_unit,aggregation_rule,cost_multiplier,source,notes
Low,8,0,554.400000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_8
Low,8,1,207.900000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_8
Low,8,2,108.900000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_8
Low,8,3,99.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_8
Low,8,4,49.500000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_8
Low,8,5,99.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_8
Low,8,6,108.900000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_8
Low,8,7,207.900000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_8
Low,8,8,554.400000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_8
Low,9,0,554.400000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_9
Low,9,1,198.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_9
Low,9,2,158.400000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_9
Low,9,3,99.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_9
Low,9,4,69.300000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_9
Low,9,5,69.300000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_9
Low,9,6,99.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_9
Low,9,7,158.400000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_9
Low,9,8,198.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_9
Low,9,9,554.400000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_9
Low,10,0,881.100000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_10
Low,10,1,297.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_10
Low,10,2,138.600000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_10
Low,10,3,108.900000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_10
Low,10,4,99.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_10
Low,10,5,49.500000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_10
Low,10,6,99.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_10
Low,10,7,108.900000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_10
Low,10,8,138.600000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_10
Low,10,9,297.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_10
Low,10,10,881.100000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_10
Low,11,0,831.600000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_11
Low,11,1,297.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_11
Low,11,2,188.100000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_11
Low,11,3,128.700000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_11
Low,11,4,99.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_11
Low,11,5,69.300000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_11
Low,11,6,69.300000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_11
Low,11,7,99.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_11
Low,11,8,128.700000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_11
Low,11,9,188.100000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_11
Low,11,10,297.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_11
Low,11,11,831.600000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_11
Low,12,0,990.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_12
Low,12,1,297.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_12
Low,12,2,158.400000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_12
Low,12,3,138.600000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_12
Low,12,4,108.900000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_12
Low,12,5,99.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_12
Low,12,6,49.500000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_12
Low,12,7,99.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_12
Low,12,8,108.900000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_12
Low,12,9,138.600000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_12
Low,12,10,158.400000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_12
Low,12,11,297.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_12
Low,12,12,990.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_12
Low,13,0,801.900000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_13
Low,13,1,396.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_13
Low,13,2,297.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_13
Low,13,3,188.100000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_13
Low,13,4,118.800000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_13
Low,13,5,89.100000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_13
Low,13,6,69.300000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_13
Low,13,7,69.300000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_13
Low,13,8,89.100000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_13
Low,13,9,118.800000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_13
