mode_type,difficulty,rows,bucket_index,multiplier,probability,source,notes
normal,Low,8,0,5.600000,4.126568531475679059e-04,authoritative_multiplier_table+rtp_solver,mode=normal_low_8
normal,Low,8,1,2.100000,3.893226560511452161e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_8
normal,Low,8,2,1.100000,1.427300992337034169e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_8
normal,Low,8,3,1.000000,1.625309810321368398e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_8
normal,Low,8,4,0.500000,3.111996514049427676e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_8
normal,Low,8,5,1.000000,1.625309810321368398e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_8
normal,Low,8,6,1.100000,1.427300992337034169e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_8
normal,Low,8,7,2.100000,3.893226560511452161e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_8
normal,Low,8,8,5.600000,9.999999999999999547e-07,authoritative_multiplier_table+rtp_solver,mode=normal_low_8
100balls,Low,8,0,554.400000,4.126568531475686649e-04,authoritative_multiplier_table+rtp_solver,mode=buy100_low_8
100balls,Low,8,1,207.900000,3.893226560511454243e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_8
100balls,Low,8,2,108.900000,1.427300992337034169e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_8
100balls,Low,8,3,99.000000,1.625309810321368953e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_8
100balls,Low,8,4,49.500000,3.111996514049427676e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_8
100balls,Low,8,5,99.000000,1.625309810321368953e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_8
100balls,Low,8,6,108.900000,1.427300992337034169e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_8
100balls,Low,8,7,207.900000,3.893226560511454243e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_8
100balls,Low,8,8,554.400000,9.999999999999999547e-07,authoritative_multiplier_table+rtp_solver,mode=buy100_low_8
normal,Low,9,0,5.600000,4.747502967931902911e-05,authoritative_multiplier_table+rtp_solver,mode=normal_low_9
normal,Low,9,1,2.000000,2.676282554820421170e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_9
normal,Low,9,2,1.600000,5.410109346999525393e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_9
normal,Low,9,3,1.000000,1.554952628054150077e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_9
normal,Low,9,4,0.700000,2.636165806615458074e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_9
normal,Low,9,5,0.700000,2.636165806615458074e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_9
normal,Low,9,6,1.000000,1.554952628054150077e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_9
normal,Low,9,7,1.600000,5.410109346999525393e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_9
normal,Low,9,8,2.000000,2.676282554820421170e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_9
normal,Low,9,9,5.600000,9.999999999999999547e-07,authoritative_multiplier_table+rtp_solver,mode=normal_low_9
100balls,Low,9,0,554.400000,4.747502967931927306e-05,authoritative_multiplier_table+rtp_solver,mode=buy100_low_9
100balls,Low,9,1,198.000000,2.676282554820423945e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_9
100balls,Low,9,2,158.400000,5.410109346999528168e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_9
100balls,Low,9,3,99.000000,1.554952628054149799e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_9
100balls,Low,9,4,69.300000,2.636165806615457519e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_9
100balls,Low,9,5,69.300000,2.636165806615457519e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_9
100balls,Low,9,6,99.000000,1.554952628054149799e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_9
100balls,Low,9,7,158.400000,5.410109346999528168e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_9
100balls,Low,9,8,198.000000,2.676282554820423945e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_9
100balls,Low,9,9,554.400000,9.999999999999999547e-07,authoritative_multiplier_table+rtp_solver,mode=buy100_low_9
normal,Low,10,0,8.900000,8.183566677769184287e-07,authoritative_multiplier_table+rtp_solver,mode=normal_low_10
normal,Low,10,1,3.000000,6.696510316243452568e-03,authoritative_multiplier_table+rtp_solver,mode=normal_low_10
normal,Low,10,2,1.400000,7.708601062599228226e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_10
normal,Low,10,3,1.100000,1.218812468290683126e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_10
normal,Low,10,4,1.000000,1.419898589011054368e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_10
normal,Low,10,5,0.500000,3.046909282985132417e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_10
normal,Low,10,6,1.000000,1.419898589011054368e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_10
normal,Low,10,7,1.100000,1.218812468290683126e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_10
normal,Low,10,8,1.400000,7.708601062599228226e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_10
normal,Low,10,9,3.000000,6.696510316243452568e-03,authoritative_multiplier_table+rtp_solver,mode=normal_low_10
normal,Low,10,10,8.900000,9.999999999999999547e-07,authoritative_multiplier_table+rtp_solver,mode=normal_low_10
