Rows	Difficulty	The value of the multipliers	
16	Expert	100k - 2.2k - 260- 7 - 2.5 - 1.1 - 0.1 - 0.1 - 0.1 - 0.1 - 0.1 - 1.1 - 2.5 - 7 - 260 - 2.2K - 100K	
15	Expert	50k - 1.3k - 230 - 6 - 1.8 - 0.2 - 0.1 - 0.1 - 0.1 - 0.1 - 0.2 - 1.8 - 6 - 230 - 1.3K - 50K	
14	Expert	25k - 800 - 160 - 3 - 1.2 - 0.2 - 0.1 - 0.1 - 0.1 - 0.2 - 1.2 - 3 - 160 - 800 - 25K	
13	Expert	10k - 520 - 100 - 3 - 0.6 - 0.1 - 0.1 - 0.1 - 0.1 - 0.6 - 3 - 100 - 520 - 10K	
12	Expert	6.2k - 300 - 60 - 1.5 - 0.4 - 0.1 - 0.1 - 0.1 - 0.4 - 1.5 - 60 - 300 - 6.2K	
11	Expert	3.2k - 160 - 40 - 1.1 - 0.2 - 0.1 - 0.1 - 0.2 - 1.1 - 40 - 160 - 3.2K	
10	Expert	2.0k - 110 - 20 - 0.6 - 0.1 - 0.1 - 0.1 - 0.6 - 20 - 110 - 2.0K	
9	Expert	1k - 78 - 15 - 0.2 - 0.1 - 0.1 - 0.2 - 15 - 78 - 1.0K	
8	Expert	500 - 46 - 11 - 0.1 - 0.1 - 0.1 - 11 - 46 - 500	
			
16	High	1k - 130 - 26- 9 - 4 - 2 - 0.2 - 0.2 - 0.2 - 0.2 - 0.2 - 2 - 4 - 9 - 26 - 130 - 1K	
15	High	620 - 83 - 27 - 8 - 3 - 0.5 - 0.2 - 0.2 - 0.2 - 0.2 - 0.5 - 3 - 8 - 27 - 83 - 620	
14	High	420 - 56 - 18 - 5 - 1.9 - 0.3 - 0.2 - 0.2 - 0.2 - 0.3 - 1.9 - 5 - 18 - 56 - 420	
13	High	260 - 37 - 11 - 4 - 1 - 0.2 - 0.2 - 0.2 - 0.2 - 1 - 4 - 11 - 37 - 260	
12	High	170 - 24 - 8.1 - 2 - 0.7 - 0.2 - 0.2 - 0.2 - 0.7 - 2 - 8.1 - 24 - 170	
11	High	120 - 14 - 5.2 - 1.4 - 0.4 - 0.2 - 0.2 - 0.4 - 1.4 - 5.2 - 14 - 120	
10	High	76 - 10 - 3 - 0.9 - 0.3 - 0.2 - 0.3 - 0.9 - 3 - 10 - 76	
9	High	43 - 7 - 2 - 0.6 - 0.2 - 0.2 - 0.6 - 2 - 7 - 43	
8	High	29 - 4 - 1.5 - 0.3 - 0.2 - 0.3 - 1.5 - 4 - 29	
			
16	Medium	110 - 41 - 10- 5 - 3 - 1.5 - 1 - 0.5 - 0.3 - 0.5 - 1 - 1.5 - 3 - 5 - 10 - 41 - 110	
15	Medium	88 - 18 - 11 - 5 - 3 - 1.3 - 0.5 - 0.3 - 0.3 - 0.5 - 1.3 - 3 - 5 - 11 - 18 - 88	
14	Medium	58 - 15 - 7 - 4 - 1.9 - 1 - 0.5 - 0.2 - 0.5 - 1 - 1.9 - 4 - 7 - 15 - 58	
13	Medium	43 - 13 - 6 - 3 - 1.3 - 0.7 - 0.4 - 0.4 - 0.7 - 1.3 - 3 - 6 - 13 - 43	
12	Medium	33 - 11 - 4 - 2 - 1.1 - 0.6 - 0.3 - 0.6 - 1.1 - 2 - 4 - 11 - 33	
11	Medium	24 - 6 - 3 - 1.8 - 0.7 - 0.5 - 0.5 - 0.7 - 1.8 - 3 - 6 - 24	
10	Medium	22 - 5 - 2 - 1.4 - 0.6 - 0.4 - 0.6 - 1.4 - 2 - 5 - 22	
9	Medium	18 - 4 - 1.7 - 0.9 - 0.5 - 0.5 - 0.9 - 1.7 - 4 - 18	
8	Medium	13 - 3 - 1.3 - 0.7 - 0.4 - 0.7 - 1.3 - 3 - 13	
			
16	Low	16 - 9 - 2- 1.4 - 1.4 - 1.2 - 1.1 - 1 - 0.5 - 1 - 1.1 - 1.2 - 1.4 - 1.4 - 2 - 9 - 16	
15	Low	15 - 8 - 3 - 2 - 1.5 - 1.1 - 1 - 0.7 - 0.7 - 1 - 1.1 - 1.5 - 2 - 3 - 8 - 15	
14	Low	7.1 - 4 - 1.9 - 1.4 - 1.3 - 1.1 - 1 - 0.5 - 1 - 1.1 - 1.3 - 1.4 - 1.9 - 4 - 7.1	
13	Low	8.1 - 4 - 3 - 1.9 - 1.2 - 0.9 - 0.7 - 0.7 - 0.9 - 1.2 - 1.9 - 3 - 4 - 8.1	
12	Low	10 - 3 - 1.6 - 1.4 - 1.1 - 1 - 0.5 - 1 - 1.1 - 1.4 - 1.6 - 3 - 10	
11	Low	8.4 - 3 - 1.9 - 1.3 - 1 - 0.7 - 0.7 - 1 - 1.3 - 1.9 - 3 - 8.4	
10	Low	8.9 - 3 - 1.4 - 1.1 - 1 - 0.5 - 1 - 1.1 - 1.4 - 3 - 8.9	
9	Low	5.6 - 2 - 1.6 - 1 - 0.7 - 0.7 - 1 - 1.6 - 2 - 5.6	
8	Low	5.6 - 2.1 - 1.1 - 1 - 0.5 - 1 - 1.1 - 2.1 - 5.6	
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
