mode,cost,weight_sum,mean_payout,normalized_rtp,std_payout,normalized_std,base_std,std_min,std_max,min_multiplier,max_multiplier,std_rule_pass
normal_low_8,1.0,1000000553752,0.9605,0.9605,0.72438984,0.72438984,0.5,0.6,60.0,0.5,5.6,True
buy100_low_8,99.0,1000000553752,95.0895,0.9605,71.71459431,0.72438984,0.5,0.6,60.0,49.5,554.4,True
normal_low_9,1.0,1000000000006,0.9605,0.9605,1.09935879,1.09935879,0.5,0.6,60.0,0.7,5.6,True
buy100_low_9,99.0,1000000000006,95.0895,0.9605,108.83652025,1.09935879,0.5,0.6,60.0,69.3,554.4,True
normal_low_10,1.0,1000000912061,0.9605,0.9605,0.96911931,0.96911931,0.5,0.6,60.0,0.5,8.9,True
buy100_low_10,99.0,1000000912061,95.0895,0.9605,95.94281124,0.96911931,0.5,0.6,60.0,49.5,881.1,True
normal_low_11,1.0,1000001477936,0.9605,0.9605,0.72889768,0.72889768,0.5,0.6,60.0,0.7,8.4,True
buy100_low_11,99.0,1000001477936,95.0895,0.9605,72.1608704,0.72889768,0.5,0.6,60.0,69.3,831.6,True
normal_low_12,1.0,1000001031498,0.9605,0.9605,0.96911974,0.96911974,0.5,0.6,60.0,0.5,10.0,True
buy100_low_12,99.0,1000001031498,95.0895,0.9605,95.9428545,0.96911974,0.5,0.6,60.0,49.5,990.0,True
normal_low_13,1.0,1000000000010,0.9605,0.9605,0.65722123,0.65722123,0.5,0.6,60.0,0.7,8.1,True
buy100_low_13,99.0,1000000000010,95.0895,0.9605,65.06490214,0.65722123,0.5,0.6,60.0,69.3,801.9,True
normal_low_14,1.0,1000000716624,0.9605,0.9605,0.65775487,0.65775487,0.5,0.6,60.0,0.5,7.1,True
buy100_low_14,99.0,1000000716624,95.0895,0.9605,65.11773191,0.65775487,0.5,0.6,60.0,49.5,702.9,True
normal_low_15,1.0,1000002744734,0.9605,0.9605,0.72890214,0.72890214,0.5,0.6,60.0,0.7,15.0,True
buy100_low_15,99.0,1000002744734,95.0895,0.9605,72.16131191,0.72890214,0.5,0.6,60.0,69.3,1485.0,True
normal_low_16,1.0,1000001682968,0.9605,0.9605,0.69188193,0.69188193,0.5,0.6,60.0,0.5,16.0,True
buy100_low_16,99.0,1000001682968,95.0895,0.9605,68.49631075,0.69188193,0.5,0.6,60.0,49.5,1584.0,True
normal_medium_8,1.0,999999999999,0.9605,0.9605,1.18189226,1.18189226,0.5,0.6,60.0,0.4,13.0,True
buy100_medium_8,99.0,999999999999,95.0895,0.9605,117.00733379,1.18189226,0.5,0.6,60.0,39.6,1287.0,True
normal_medium_9,1.0,1000000000000,0.9605,0.9605,1.20927632,1.20927632,0.5,0.6,60.0,0.5,18.0,True
buy100_medium_9,99.0,1000000000000,95.0895,0.9605,119.71835549,1.20927632,0.5,0.6,60.0,49.5,1782.0,True
normal_medium_10,1.0,999999999998,0.9605,0.9605,1.14478917,1.14478917,0.5,0.6,60.0,0.4,22.0,True
