mode_type,difficulty,rows,bucket_index,multiplier,probability,source,notes
normal,Low,8,0,5.6,7.959059981015918772e-03,authoritative_multiplier_table+symmetric_design,mode=normal_low_8; theta=-0.075291; rebalance_alpha=0.9200; std_floor_two_point_blend; base_std=0.51162768; chosen_std=0.70000000; blend_t=0.12174420; max_var_std=1.46167361; std_rule=0.6-60.0
normal,Low,8,1,2.1,2.479679660904959490e-02,authoritative_multiplier_table+symmetric_design,mode=normal_low_8; theta=-0.075291; rebalance_alpha=0.9200; std_floor_two_point_blend; base_std=0.51162768; chosen_std=0.70000000; blend_t=0.12174420; max_var_std=1.46167361; std_rule=0.6-60.0
normal,Low,8,2,1.1,9.238693013118477737e-02,authoritative_multiplier_table+symmetric_design,mode=normal_low_8; theta=-0.075291; rebalance_alpha=0.9200; std_floor_two_point_blend; base_std=0.51162768; chosen_std=0.70000000; blend_t=0.12174420; max_var_std=1.46167361; std_rule=0.6-60.0
normal,Low,8,3,1.0,1.891035228843782057e-01,authoritative_multiplier_table+symmetric_design,mode=normal_low_8; theta=-0.075291; rebalance_alpha=0.9200; std_floor_two_point_blend; base_std=0.51162768; chosen_std=0.70000000; blend_t=0.12174420; max_var_std=1.46167361; std_rule=0.6-60.0
normal,Low,8,4,0.5,3.715073807887430135e-01,authoritative_multiplier_table+symmetric_design,mode=normal_low_8; theta=-0.075291; rebalance_alpha=0.9200; std_floor_two_point_blend; base_std=0.51162768; chosen_std=0.70000000; blend_t=0.12174420; max_var_std=1.46167361; std_rule=0.6-60.0
normal,Low,8,5,1.0,1.891035228843782057e-01,authoritative_multiplier_table+symmetric_design,mode=normal_low_8; theta=-0.075291; rebalance_alpha=0.9200; std_floor_two_point_blend; base_std=0.51162768; chosen_std=0.70000000; blend_t=0.12174420; max_var_std=1.46167361; std_rule=0.6-60.0
normal,Low,8,6,1.1,9.238693013118477737e-02,authoritative_multiplier_table+symmetric_design,mode=normal_low_8; theta=-0.075291; rebalance_alpha=0.9200; std_floor_two_point_blend; base_std=0.51162768; chosen_std=0.70000000; blend_t=0.12174420; max_var_std=1.46167361; std_rule=0.6-60.0
normal,Low,8,7,2.1,2.479679660904959490e-02,authoritative_multiplier_table+symmetric_design,mode=normal_low_8; theta=-0.075291; rebalance_alpha=0.9200; std_floor_two_point_blend; base_std=0.51162768; chosen_std=0.70000000; blend_t=0.12174420; max_var_std=1.46167361; std_rule=0.6-60.0
normal,Low,8,8,5.6,7.959059981015918772e-03,authoritative_multiplier_table+symmetric_design,mode=normal_low_8; theta=-0.075291; rebalance_alpha=0.9200; std_floor_two_point_blend; base_std=0.51162768; chosen_std=0.70000000; blend_t=0.12174420; max_var_std=1.46167361; std_rule=0.6-60.0
100balls,Low,8,0,75.14,1.405439929728003433e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,1,75.44,9.999999500000024839e-06,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,2,75.74,9.999999500000024839e-06,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,3,76.03,9.999999500000024839e-06,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,4,76.23,9.999999500000024839e-06,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,5,76.53,9.999999500000024839e-06,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,6,76.63,1.999999900000004968e-05,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,7,76.72,1.999999900000004968e-05,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,8,76.92,2.999999850000007452e-05,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,9,77.12,2.999999850000007452e-05,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,10,77.32,1.999999900000004968e-05,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,11,77.42,5.999999700000014903e-05,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,12,77.52,1.999999900000004968e-05,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
