difficulty,rows,bucket_index,multiplier,payout_unit,source,notes
Low,8,0,5.600000,x,authoritative_multiplier_table,mode=normal_low_8
Low,8,1,2.100000,x,authoritative_multiplier_table,mode=normal_low_8
Low,8,2,1.100000,x,authoritative_multiplier_table,mode=normal_low_8
Low,8,3,1.000000,x,authoritative_multiplier_table,mode=normal_low_8
Low,8,4,0.500000,x,authoritative_multiplier_table,mode=normal_low_8
Low,8,5,1.000000,x,authoritative_multiplier_table,mode=normal_low_8
Low,8,6,1.100000,x,authoritative_multiplier_table,mode=normal_low_8
Low,8,7,2.100000,x,authoritative_multiplier_table,mode=normal_low_8
Low,8,8,5.600000,x,authoritative_multiplier_table,mode=normal_low_8
Low,9,0,5.600000,x,authoritative_multiplier_table,mode=normal_low_9
Low,9,1,2.000000,x,authoritative_multiplier_table,mode=normal_low_9
Low,9,2,1.600000,x,authoritative_multiplier_table,mode=normal_low_9
Low,9,3,1.000000,x,authoritative_multiplier_table,mode=normal_low_9
Low,9,4,0.700000,x,authoritative_multiplier_table,mode=normal_low_9
Low,9,5,0.700000,x,authoritative_multiplier_table,mode=normal_low_9
Low,9,6,1.000000,x,authoritative_multiplier_table,mode=normal_low_9
Low,9,7,1.600000,x,authoritative_multiplier_table,mode=normal_low_9
Low,9,8,2.000000,x,authoritative_multiplier_table,mode=normal_low_9
Low,9,9,5.600000,x,authoritative_multiplier_table,mode=normal_low_9
Low,10,0,8.900000,x,authoritative_multiplier_table,mode=normal_low_10
Low,10,1,3.000000,x,authoritative_multiplier_table,mode=normal_low_10
Low,10,2,1.400000,x,authoritative_multiplier_table,mode=normal_low_10
Low,10,3,1.100000,x,authoritative_multiplier_table,mode=normal_low_10
Low,10,4,1.000000,x,authoritative_multiplier_table,mode=normal_low_10
Low,10,5,0.500000,x,authoritative_multiplier_table,mode=normal_low_10
Low,10,6,1.000000,x,authoritative_multiplier_table,mode=normal_low_10
Low,10,7,1.100000,x,authoritative_multiplier_table,mode=normal_low_10
Low,10,8,1.400000,x,authoritative_multiplier_table,mode=normal_low_10
Low,10,9,3.000000,x,authoritative_multiplier_table,mode=normal_low_10
Low,10,10,8.900000,x,authoritative_multiplier_table,mode=normal_low_10
Low,11,0,8.400000,x,authoritative_multiplier_table,mode=normal_low_11
Low,11,1,3.000000,x,authoritative_multiplier_table,mode=normal_low_11
Low,11,2,1.900000,x,authoritative_multiplier_table,mode=normal_low_11
Low,11,3,1.300000,x,authoritative_multiplier_table,mode=normal_low_11
Low,11,4,1.000000,x,authoritative_multiplier_table,mode=normal_low_11
Low,11,5,0.700000,x,authoritative_multiplier_table,mode=normal_low_11
Low,11,6,0.700000,x,authoritative_multiplier_table,mode=normal_low_11
Low,11,7,1.000000,x,authoritative_multiplier_table,mode=normal_low_11
Low,11,8,1.300000,x,authoritative_multiplier_table,mode=normal_low_11
Low,11,9,1.900000,x,authoritative_multiplier_table,mode=normal_low_11
Low,11,10,3.000000,x,authoritative_multiplier_table,mode=normal_low_11
Low,11,11,8.400000,x,authoritative_multiplier_table,mode=normal_low_11
Low,12,0,10.000000,x,authoritative_multiplier_table,mode=normal_low_12
Low,12,1,3.000000,x,authoritative_multiplier_table,mode=normal_low_12
Low,12,2,1.600000,x,authoritative_multiplier_table,mode=normal_low_12
Low,12,3,1.400000,x,authoritative_multiplier_table,mode=normal_low_12
Low,12,4,1.100000,x,authoritative_multiplier_table,mode=normal_low_12
Low,12,5,1.000000,x,authoritative_multiplier_table,mode=normal_low_12
Low,12,6,0.500000,x,authoritative_multiplier_table,mode=normal_low_12
Low,12,7,1.000000,x,authoritative_multiplier_table,mode=normal_low_12
Low,12,8,1.100000,x,authoritative_multiplier_table,mode=normal_low_12
Low,12,9,1.400000,x,authoritative_multiplier_table,mode=normal_low_12
Low,12,10,1.600000,x,authoritative_multiplier_table,mode=normal_low_12
Low,12,11,3.000000,x,authoritative_multiplier_table,mode=normal_low_12
Low,12,12,10.000000,x,authoritative_multiplier_table,mode=normal_low_12
Low,13,0,8.100000,x,authoritative_multiplier_table,mode=normal_low_13
Low,13,1,4.000000,x,authoritative_multiplier_table,mode=normal_low_13
Low,13,2,3.000000,x,authoritative_multiplier_table,mode=normal_low_13
Low,13,3,1.900000,x,authoritative_multiplier_table,mode=normal_low_13
Low,13,4,1.200000,x,authoritative_multiplier_table,mode=normal_low_13
Low,13,5,0.900000,x,authoritative_multiplier_table,mode=normal_low_13
Low,13,6,0.700000,x,authoritative_multiplier_table,mode=normal_low_13
Low,13,7,0.700000,x,authoritative_multiplier_table,mode=normal_low_13
Low,13,8,0.900000,x,authoritative_multiplier_table,mode=normal_low_13
Low,13,9,1.200000,x,authoritative_multiplier_table,mode=normal_low_13
Low,13,10,1.900000,x,authoritative_multiplier_table,mode=normal_low_13
Low,13,11,3.000000,x,authoritative_multiplier_table,mode=normal_low_13
Low,13,12,4.000000,x,authoritative_multiplier_table,mode=normal_low_13
Low,13,13,8.100000,x,authoritative_multiplier_table,mode=normal_low_13
Low,14,0,7.100000,x,authoritative_multiplier_table,mode=normal_low_14
Low,14,1,4.000000,x,authoritative_multiplier_table,mode=normal_low_14
Low,14,2,1.900000,x,authoritative_multiplier_table,mode=normal_low_14
Low,14,3,1.400000,x,authoritative_multiplier_table,mode=normal_low_14
Low,14,4,1.300000,x,authoritative_multiplier_table,mode=normal_low_14
Low,14,5,1.100000,x,authoritative_multiplier_table,mode=normal_low_14
Low,14,6,1.000000,x,authoritative_multiplier_table,mode=normal_low_14
Low,14,7,0.500000,x,authoritative_multiplier_table,mode=normal_low_14
Low,14,8,1.000000,x,authoritative_multiplier_table,mode=normal_low_14
Low,14,9,1.100000,x,authoritative_multiplier_table,mode=normal_low_14
Low,14,10,1.300000,x,authoritative_multiplier_table,mode=normal_low_14
Low,14,11,1.400000,x,authoritative_multiplier_table,mode=normal_low_14
Low,14,12,1.900000,x,authoritative_multiplier_table,mode=normal_low_14
Low,14,13,4.000000,x,authoritative_multiplier_table,mode=normal_low_14
Low,14,14,7.100000,x,authoritative_multiplier_table,mode=normal_low_14
Low,15,0,15.000000,x,authoritative_multiplier_table,mode=normal_low_15
Low,15,1,8.000000,x,authoritative_multiplier_table,mode=normal_low_15
Low,15,2,3.000000,x,authoritative_multiplier_table,mode=normal_low_15
Low,15,3,2.000000,x,authoritative_multiplier_table,mode=normal_low_15
Low,15,4,1.500000,x,authoritative_multiplier_table,mode=normal_low_15
Low,15,5,1.100000,x,authoritative_multiplier_table,mode=normal_low_15
Low,15,6,1.000000,x,authoritative_multiplier_table,mode=normal_low_15
Low,15,7,0.700000,x,authoritative_multiplier_table,mode=normal_low_15
Low,15,8,0.700000,x,authoritative_multiplier_table,mode=normal_low_15
Low,15,9,1.000000,x,authoritative_multiplier_table,mode=normal_low_15
Low,15,10,1.100000,x,authoritative_multiplier_table,mode=normal_low_15
Low,15,11,1.500000,x,authoritative_multiplier_table,mode=normal_low_15
Low,15,12,2.000000,x,authoritative_multiplier_table,mode=normal_low_15
Low,15,13,3.000000,x,authoritative_multiplier_table,mode=normal_low_15
Low,15,14,8.000000,x,authoritative_multiplier_table,mode=normal_low_15
Low,15,15,15.000000,x,authoritative_multiplier_table,mode=normal_low_15
Low,16,0,16.000000,x,authoritative_multiplier_table,mode=normal_low_16
Low,16,1,9.000000,x,authoritative_multiplier_table,mode=normal_low_16
Low,16,2,2.000000,x,authoritative_multiplier_table,mode=normal_low_16
Low,16,3,1.400000,x,authoritative_multiplier_table,mode=normal_low_16
Low,16,4,1.400000,x,authoritative_multiplier_table,mode=normal_low_16
Low,16,5,1.200000,x,authoritative_multiplier_table,mode=normal_low_16
Low,16,6,1.100000,x,authoritative_multiplier_table,mode=normal_low_16
Low,16,7,1.000000,x,authoritative_multiplier_table,mode=normal_low_16
Low,16,8,0.500000,x,authoritative_multiplier_table,mode=normal_low_16
Low,16,9,1.000000,x,authoritative_multiplier_table,mode=normal_low_16
Low,16,10,1.100000,x,authoritative_multiplier_table,mode=normal_low_16
Low,16,11,1.200000,x,authoritative_multiplier_table,mode=normal_low_16
Low,16,12,1.400000,x,authoritative_multiplier_table,mode=normal_low_16
Low,16,13,1.400000,x,authoritative_multiplier_table,mode=normal_low_16
Low,16,14,2.000000,x,authoritative_multiplier_table,mode=normal_low_16
Low,16,15,9.000000,x,authoritative_multiplier_table,mode=normal_low_16
Low,16,16,16.000000,x,authoritative_multiplier_table,mode=normal_low_16
Medium,8,0,13.000000,x,authoritative_multiplier_table,mode=normal_medium_8
Medium,8,1,3.000000,x,authoritative_multiplier_table,mode=normal_medium_8
Medium,8,2,1.300000,x,authoritative_multiplier_table,mode=normal_medium_8
Medium,8,3,0.700000,x,authoritative_multiplier_table,mode=normal_medium_8
Medium,8,4,0.400000,x,authoritative_multiplier_table,mode=normal_medium_8
Medium,8,5,0.700000,x,authoritative_multiplier_table,mode=normal_medium_8
Medium,8,6,1.300000,x,authoritative_multiplier_table,mode=normal_medium_8
Medium,8,7,3.000000,x,authoritative_multiplier_table,mode=normal_medium_8
Medium,8,8,13.000000,x,authoritative_multiplier_table,mode=normal_medium_8
Medium,9,0,18.000000,x,authoritative_multiplier_table,mode=normal_medium_9
Medium,9,1,4.000000,x,authoritative_multiplier_table,mode=normal_medium_9
Medium,9,2,1.700000,x,authoritative_multiplier_table,mode=normal_medium_9
Medium,9,3,0.900000,x,authoritative_multiplier_table,mode=normal_medium_9
Medium,9,4,0.500000,x,authoritative_multiplier_table,mode=normal_medium_9
Medium,9,5,0.500000,x,authoritative_multiplier_table,mode=normal_medium_9
Medium,9,6,0.900000,x,authoritative_multiplier_table,mode=normal_medium_9
Medium,9,7,1.700000,x,authoritative_multiplier_table,mode=normal_medium_9
Medium,9,8,4.000000,x,authoritative_multiplier_table,mode=normal_medium_9
